Date,^CNXAUTO,^CNXENERGY,^CNXIT,^CNXMEDIA,^CNXMETAL,^CNXREALTY
2014-08-26 00:00:00+05:30,7595.64990234375,9530.5,10671.0,1919.800048828125,3108.39990234375,228.4499969482422
2014-08-27 00:00:00+05:30,7665.0,9577.650390625,10743.7998046875,1905.0,3105.60009765625,225.25
2014-08-28 00:00:00+05:30,7683.60009765625,9629.0,10679.650390625,1892.1500244140625,3080.5,220.3000030517578
2014-09-01 00:00:00+05:30,7789.35009765625,9810.349609375,10705.2998046875,1934.1500244140625,3169.10009765625,226.25
2014-09-02 00:00:00+05:30,7797.5,9880.2001953125,10746.5498046875,1937.3499755859375,3144.75,228.8000030517578
2014-09-03 00:00:00+05:30,7850.85009765625,9874.0498046875,11005.099609375,1942.300048828125,3176.14990234375,233.75
2014-09-04 00:00:00+05:30,7856.14990234375,9852.0,10960.4501953125,1943.3499755859375,3125.39990234375,224.39999389648438
2014-09-05 00:00:00+05:30,7805.60009765625,9875.0,11025.5498046875,1932.4000244140625,3151.449951171875,226.89999389648438
2014-09-08 00:00:00+05:30,7864.60009765625,9983.0498046875,11167.75,1945.25,3190.89990234375,228.35000610351562
2014-09-09 00:00:00+05:30,7899.0,9953.7001953125,11069.900390625,1942.75,3188.75,226.5500030517578
2014-09-10 00:00:00+05:30,7882.64990234375,9844.25,10942.4501953125,1986.0,3187.300048828125,228.14999389648438
2014-09-11 00:00:00+05:30,7932.25,9816.25,10965.9501953125,1957.699951171875,3164.10009765625,227.0
2014-09-12 00:00:00+05:30,8009.7998046875,9757.25,10958.5,1954.3499755859375,3158.5,226.8000030517578
2014-09-15 00:00:00+05:30,7984.64990234375,9664.349609375,10868.150390625,1980.9000244140625,3107.89990234375,227.14999389648438
2014-09-16 00:00:00+05:30,7830.7001953125,9401.900390625,10811.5,1948.449951171875,3033.89990234375,218.3000030517578
2014-09-17 00:00:00+05:30,7901.14990234375,9444.099609375,10991.400390625,1956.75,3045.699951171875,219.5
2014-09-18 00:00:00+05:30,8120.35009765625,9604.0,11055.2001953125,2011.550048828125,3080.64990234375,230.25
2014-09-19 00:00:00+05:30,8059.2998046875,9515.75,11224.150390625,2039.1500244140625,3074.85009765625,228.5
2014-09-22 00:00:00+05:30,8153.5,9565.650390625,11173.150390625,2012.300048828125,3036.199951171875,227.0500030517578
2014-09-23 00:00:00+05:30,7991.10009765625,9350.7001953125,11088.0498046875,1974.9000244140625,2962.449951171875,215.0
2014-09-24 00:00:00+05:30,7946.60009765625,9378.2001953125,11074.2001953125,1965.3499755859375,2946.199951171875,211.39999389648438
2014-09-25 00:00:00+05:30,7867.10009765625,9122.849609375,11185.9501953125,1974.3499755859375,2847.64990234375,203.8000030517578
2014-09-26 00:00:00+05:30,7933.9501953125,9233.7998046875,11138.0,1965.199951171875,2924.64990234375,208.6999969482422
2014-09-29 00:00:00+05:30,7904.2998046875,9222.400390625,11326.599609375,1986.6500244140625,2897.300048828125,208.0500030517578
2014-09-30 00:00:00+05:30,7899.35009765625,9275.150390625,11302.7001953125,2027.3499755859375,2865.5,202.8000030517578
2014-10-01 00:00:00+05:30,7895.2001953125,9140.849609375,11519.4501953125,2023.449951171875,2853.5,201.5500030517578
2014-10-07 00:00:00+05:30,7828.25,9109.0498046875,11428.599609375,1992.550048828125,2772.449951171875,199.5500030517578
2014-10-08 00:00:00+05:30,7870.75,9251.2001953125,11043.400390625,1992.699951171875,2805.449951171875,202.5500030517578
2014-10-09 00:00:00+05:30,7957.60009765625,9369.0,11065.150390625,2065.39990234375,2866.85009765625,207.85000610351562
2014-10-10 00:00:00+05:30,7732.35009765625,9307.0498046875,11311.25,2034.199951171875,2748.800048828125,205.25
2014-10-13 00:00:00+05:30,7720.7001953125,9316.4501953125,11437.0,2028.050048828125,2784.449951171875,201.8000030517578
